stage,model_type,method,seed,target_epsilon,actual_epsilon,run_id,attribute,n_tokens,n_tokens_group0,n_tokens_group1,test_auc,test_brier,group0_auc,group1_auc,auc_gap,signed_disparity,group1_minus_group0_auc,group0_brier,group1_brier,brier_gap
D11_STATIC_WEIGHTING,dkt,DP-C1p0,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps1p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6211880068800313,0.17082039731138823,0.6212655456925418,0.6228636417951212,0.0015980961025794382,0.0015980961025794382,0.0015980961025794382,0.1697866096693735,0.17329730707490978,0.0035106974055362783
D11_STATIC_WEIGHTING,dkt,DP-C1p0,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps1p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6235575948593389,0.1723752776857661,0.6277572877509043,0.6228636417951212,0.004893645955783121,-0.004893645955783121,-0.004893645955783121,0.17140635237319932,0.17329730707490978,0.0018909547017104678
D11_STATIC_WEIGHTING,dkt,DP-C1p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.7212624726330453,0.0712152135449557,0.7256079360578989,0.7178046920787742,0.0078032439791246855,-0.0078032439791246855,-0.0078032439791246855,0.06581248055350776,0.08415992438531554,0.01834744383180778
D11_STATIC_WEIGHTING,dkt,DP-C1p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.7210497853188502,0.07585098571698601,0.7334097768951305,0.7178046920787742,0.015605084816356363,-0.015605084816356363,-0.015605084816356363,0.06711944083229843,0.08415992438531554,0.017040483553017113
D11_STATIC_WEIGHTING,dkt,DP-C1p0,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps1p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6463986135715738,0.18015990841533666,0.6510530345552481,0.6369394513579488,0.014113583197299273,-0.014113583197299273,-0.014113583197299273,0.178878245366917,0.1832307167604518,0.0043524713935348125
D11_STATIC_WEIGHTING,dkt,DP-C1p0,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps1p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6434985218505327,0.1817181762898883,0.6523998943975537,0.6369394513579488,0.01546044303960492,-0.01546044303960492,-0.01546044303960492,0.18012870553606372,0.1832307167604518,0.0031020112243880793
D11_STATIC_WEIGHTING,dkt,DP-C1p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.716688622490133,0.07237447195464988,0.7216341905932246,0.7087881167386467,0.012846073854577922,-0.012846073854577922,-0.012846073854577922,0.06727550165503474,0.08459138073333296,0.01731587907829822
D11_STATIC_WEIGHTING,dkt,DP-C1p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.7142773786230263,0.07690200505965457,0.7248648446304309,0.7087881167386467,0.01607672789178416,-0.01607672789178416,-0.01607672789178416,0.06882153515729991,0.08459138073333296,0.015769845576033045
D11_STATIC_WEIGHTING,dkt,DP-C1p0,44,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps1p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.6585996263713924,0.17449338848088022,0.6654423156925763,0.6478107236134583,0.01763159207911802,-0.01763159207911802,-0.01763159207911802,0.17351828529720245,0.17682969286094172,0.003311407563739266
D11_STATIC_WEIGHTING,dkt,DP-C1p0,44,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps1p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.6543838745765823,0.1761370221136505,0.6663894602454075,0.6478107236134583,0.0185787366319492,-0.0185787366319492,-0.0185787366319492,0.17540912099875408,0.17682969286094172,0.0014205718621876362
D11_STATIC_WEIGHTING,dkt,DP-C1p0,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps10p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.7174881866564491,0.0719222758594711,0.7250581211029065,0.7070994292802558,0.01795869182265064,-0.01795869182265064,-0.01795869182265064,0.06656673937383711,0.08475390594581182,0.01818716657197471
D11_STATIC_WEIGHTING,dkt,DP-C1p0,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__DP-C1p0__eps10p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.7128309697039571,0.07680466556631688,0.7274727916085459,0.7070994292802558,0.020373362328290123,-0.020373362328290123,-0.020373362328290123,0.06845111381399835,0.08475390594581182,0.016302792131813473
D11_STATIC_WEIGHTING,dkt,MDW-DP_b0p5,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__MDW-DP_b0p5__eps1p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6229965152510172,0.17157449676344208,0.6228217614821709,0.6251938910795878,0.002372129597416839,0.002372129597416839,0.002372129597416839,0.17058647799183796,0.17394174632463782,0.0033552683327998656
D11_STATIC_WEIGHTING,dkt,MDW-DP_b0p5,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__MDW-DP_b0p5__eps1p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6253104014562746,0.17310613266738023,0.628787305640274,0.6251938910795878,0.003593414560686181,-0.003593414560686181,-0.003593414560686181,0.17222801833222293,0.17394174632463782,0.0017137279924148985
D11_STATIC_WEIGHTING,dkt,MDW-DP_b0p5,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__MDW-DP_b0p5__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.7170697046992002,0.07143915005590824,0.721416879885015,0.7134810490318249,0.007935830853190162,-0.007935830853190162,-0.007935830853190162,0.06604058501031065,0.08437387468115869,0.018333289670848033
D11_STATIC_WEIGHTING,dkt,MDW-DP_b0p5,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__MDW-DP_b0p5__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.7163480045292562,0.07610043177731628,0.7279267245115888,0.7134810490318249,0.014445675479763942,-0.014445675479763942,-0.014445675479763942,0.06740618802977834,0.08437387468115869,0.016967686651380348
D11_STATIC_WEIGHTING,dkt,MDW-DP_b0p5,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__MDW-DP_b0p5__eps1p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.647832041258641,0.18068395942272,0.652514806350166,0.6383668197310846,0.014147986619081454,-0.014147986619081454,-0.014147986619081454,0.17942675300211905,0.1836961707622556,0.004269417760136562
D11_STATIC_WEIGHTING,dkt,MDW-DP_b0p5,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__MDW-DP_b0p5__eps1p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6448477641370208,0.1822286503911823,0.6537488868398863,0.6383668197310846,0.015382067108801745,-0.015382067108801745,-0.015382067108801745,0.18068648953277316,0.1836961707622556,0.003009681229482447
D11_STATIC_WEIGHTING,dkt,MDW-DP_b0p5,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D11_STATIC_WEIGHTING__MDW-DP_b0p5__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.7126448680343664,0.0726488642360136,0.7174030420813539,0.7049922329765624,0.01241080910479142,-0.01241080910479142,-0.01241080910479142,0.06755246141860563,0.08485962144014873,0.017307160021543103
