stage,model_type,method,seed,target_epsilon,actual_epsilon,run_id,attribute,n_tokens,n_tokens_group0,n_tokens_group1,test_auc,test_brier,group0_auc,group1_auc,auc_gap,signed_disparity,group1_minus_group0_auc,group0_brier,group1_brier,brier_gap
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,42,1.0,0.9946649275773358,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps1p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6441282658836073,0.07488290768148703,0.6454620715602852,0.6415219951861525,0.003940076374132739,-0.003940076374132739,-0.003940076374132739,0.06855886894581302,0.0900350266009518,0.021476157655138786
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,42,1.0,0.9946649275773358,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps1p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6482704463548732,0.08049965972331764,0.6567642701216004,0.6415219951861525,0.015242274935447941,-0.015242274935447941,-0.015242274935447941,0.07047930848382956,0.0900350266009518,0.019555718117122242
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,42,10.0,9.996090480351377,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6608058748431991,0.07471332328220588,0.6638913112675843,0.6553606687037322,0.008530642563852053,-0.008530642563852053,-0.008530642563852053,0.06834151044829785,0.08997990684174768,0.021638396393449832
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,42,10.0,9.996090480351377,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.664232962546898,0.0803430921432561,0.6759630312630525,0.6553606687037322,0.020602362559320242,-0.020602362559320242,-0.020602362559320242,0.07021613328074554,0.08997990684174768,0.019763773561002146
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,43,1.0,0.9946649275773358,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps1p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6366509949767527,0.0752871340143053,0.6446768499928832,0.6225112806768974,0.02216556931598579,-0.02216556931598579,-0.02216556931598579,0.06885868343330938,0.0906894191270911,0.021830735693781717
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,43,1.0,0.9946649275773358,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps1p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6326643181695727,0.08099324841156604,0.6471650865703635,0.6225112806768974,0.024653805893466108,-0.024653805893466108,-0.024653805893466108,0.07080391458787308,0.0906894191270911,0.019885504539218016
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,43,10.0,9.996090480351377,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6564329733276999,0.07474365570625723,0.6661692850736669,0.6398556414764741,0.026313643597192793,-0.026313643597192793,-0.026313643597192793,0.06831698619977952,0.09014167344276139,0.021824687242981866
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,43,10.0,9.996090480351377,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6528365331971786,0.08039520202050807,0.6717460261169034,0.6398556414764741,0.03189038464042926,-0.03189038464042926,-0.03189038464042926,0.07015300911383696,0.09014167344276139,0.019988664328924433
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,44,1.0,0.9946649275773358,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps1p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.6430047950136636,0.07482904957139253,0.6451721214627782,0.6400198016421708,0.005152319820607487,-0.005152319820607487,-0.005152319820607487,0.06845865766172955,0.09009222865888149,0.021633570997151935
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,44,1.0,0.9946649275773358,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps1p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.6441695426969137,0.08041635956854637,0.6504164992001009,0.6400198016421708,0.010396697557930157,-0.010396697557930157,-0.010396697557930157,0.07024835994391948,0.09009222865888149,0.019843868714962007
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,44,10.0,9.996090480351377,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps10p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.6579056744098246,0.0744953288585341,0.6613296218186218,0.6528893042681643,0.008440317550457488,-0.008440317550457488,-0.008440317550457488,0.06811676374200679,0.0897780905905226,0.021661326848515808
D12_SAKT_ROBUSTNESS,sakt,DP-C1p0,44,10.0,9.996090480351377,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__DP-C1p0__eps10p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.6592432821564238,0.08003706478990526,0.6688388065347424,0.6528893042681643,0.015949502266578097,-0.015949502266578097,-0.015949502266578097,0.0698005944780971,0.0897780905905226,0.019977496112425497
D12_SAKT_ROBUSTNESS,sakt,No-DP,42,,,sakt_bs512_len100_d64_ep8_lr0p001_C1p0_split2026__D12_SAKT_ROBUSTNESS__No-DP__NoDP__seed42,imd_low30_vs_rest,21330,15049,6281,0.8041228662675174,0.06297728276961503,0.8023306053917609,0.8066139191888154,0.004283313797054489,0.004283313797054489,0.004283313797054489,0.05861674029906295,0.07342495091789371,0.01480821061883076
