stage,model_type,method,seed,target_epsilon,actual_epsilon,run_id,attribute,n_tokens,n_tokens_group0,n_tokens_group1,test_auc,test_brier,group0_auc,group1_auc,auc_gap,signed_disparity,group1_minus_group0_auc,group0_brier,group1_brier,brier_gap
D13_D14_RANKING_CLIP,dkt,CLIP-C1p5,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C1p5__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6689926431255427,0.08232234543581073,0.6739643355944901,0.663344485982372,0.010619849612118148,-0.010619849612118148,-0.010619849612118148,0.07811296364838587,0.09240783922962642,0.014294875581240554
D13_D14_RANKING_CLIP,dkt,CLIP-C1p5,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C1p5__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.667678860472109,0.08628477468369004,0.6792075482106691,0.663344485982372,0.015863062228297142,-0.015863062228297142,-0.015863062228297142,0.07985028105594592,0.09240783922962642,0.012557558173680497
D13_D14_RANKING_CLIP,dkt,CLIP-C1p5,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C1p5__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6712889291124441,0.09085308436593384,0.6762572401201159,0.6628603984226968,0.01339684169741906,-0.01339684169741906,-0.01339684169741906,0.08696323108894922,0.10017300188947169,0.013209770800522463
D13_D14_RANKING_CLIP,dkt,CLIP-C1p5,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C1p5__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6690239644863407,0.09459207913677921,0.6793346257811823,0.6628603984226968,0.01647422735848547,-0.01647422735848547,-0.01647422735848547,0.08872730152097502,0.10017300188947169,0.011445700368496667
D13_D14_RANKING_CLIP,dkt,CLIP-C1p5,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C1p5__eps10p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.6776293501396335,0.08659050523751033,0.6861781117825565,0.6648880752007192,0.021290036581837257,-0.021290036581837257,-0.021290036581837257,0.0824233524130923,0.09657482029158879,0.014151467878496485
D13_D14_RANKING_CLIP,dkt,CLIP-C1p5,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C1p5__eps10p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.671695177845147,0.09093597345968053,0.6867230536444664,0.6648880752007192,0.021834978443747155,-0.021834978443747155,-0.021834978443747155,0.08501032565121211,0.09657482029158879,0.011564494640376677
D13_D14_RANKING_CLIP,dkt,CLIP-C2p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C2p0__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6387146999073482,0.10402931020951965,0.6424995866077009,0.6344969643172131,0.00800262229048776,-0.00800262229048776,-0.00800262229048776,0.10104502036429114,0.11117953754288118,0.010134517178590041
D13_D14_RANKING_CLIP,dkt,CLIP-C2p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C2p0__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6380173388641619,0.1071722677655468,0.6469988021215058,0.6344969643172131,0.012501837804292704,-0.012501837804292704,-0.012501837804292704,0.10296118169035239,0.11117953754288118,0.008218355852528794
D13_D14_RANKING_CLIP,dkt,CLIP-C2p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C2p0__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6577062627583642,0.11796915516743414,0.6621715289657877,0.6493480536920389,0.01282347527374883,-0.01282347527374883,-0.01282347527374883,0.11513763965862045,0.12475334190396294,0.009615702245342486
D13_D14_RANKING_CLIP,dkt,CLIP-C2p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D13_D14_RANKING_CLIP__CLIP-C2p0__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6557129634771817,0.12088734943788415,0.6651797605819167,0.6493480536920389,0.015831706889877895,-0.015831706889877895,-0.015831706889877895,0.11682472626916389,0.12475334190396294,0.007928615634799047
