stage,model_type,method,seed,target_epsilon,actual_epsilon,run_id,attribute,n_tokens,n_tokens_group0,n_tokens_group1,test_auc,test_brier,group0_auc,group1_auc,auc_gap,signed_disparity,group1_minus_group0_auc,group0_brier,group1_brier,brier_gap
D15_LIRE_EPS10,dkt,CLIP-C1p5,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__CLIP-C1p5__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.668991984421563,0.08232234497826377,0.6739642396798035,0.6633429211974303,0.010621318482373132,-0.010621318482373132,-0.010621318482373132,0.078112963286226,0.09240783854353628,0.014294875257310283
D15_LIRE_EPS10,dkt,CLIP-C1p5,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__CLIP-C1p5__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6676751774098008,0.08628477412527943,0.6792024257039506,0.6633429211974303,0.015859504506520294,-0.015859504506520294,-0.015859504506520294,0.07985028063170888,0.09240783854353628,0.012557557911827402
D15_LIRE_EPS10,dkt,CLIP-C1p5,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__CLIP-C1p5__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6712872896714279,0.09085308425630466,0.6762603413616484,0.6628501561939878,0.013410185167660571,-0.013410185167660571,-0.013410185167660571,0.08696323096152533,0.10017300182247789,0.013209770860952555
D15_LIRE_EPS10,dkt,CLIP-C1p5,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__CLIP-C1p5__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6690189157941879,0.09459207909701516,0.6793352168396498,0.6628501561939878,0.01648506064566202,-0.01648506064566202,-0.01648506064566202,0.08872730150982572,0.10017300182247789,0.011445700312652171
D15_LIRE_EPS10,dkt,CLIP-C1p5,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__CLIP-C1p5__eps10p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.6776293501396335,0.08659050523751033,0.6861781117825565,0.6648880752007192,0.021290036581837257,-0.021290036581837257,-0.021290036581837257,0.0824233524130923,0.09657482029158879,0.014151467878496485
D15_LIRE_EPS10,dkt,CLIP-C1p5,44,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__CLIP-C1p5__eps10p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.671695177845147,0.09093597345968053,0.6867230536444664,0.6648880752007192,0.021834978443747155,-0.021834978443747155,-0.021834978443747155,0.08501032565121211,0.09657482029158879,0.011564494640376677
D15_LIRE_EPS10,dkt,DP-C1p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__DP-C1p0__eps10p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.7212685327096586,0.07121521356706648,0.7256124440481676,0.7178115202312467,0.0078009238169208794,-0.0078009238169208794,-0.0078009238169208794,0.06581248058094642,0.08415992439466095,0.01834744381371453
D15_LIRE_EPS10,dkt,DP-C1p0,42,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__DP-C1p0__eps10p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.72105768941886,0.07585098563606597,0.7334135202654246,0.7178115202312467,0.015602000034177887,-0.015602000034177887,-0.015602000034177887,0.0671194406565219,0.08415992439466095,0.01704048373813906
D15_LIRE_EPS10,dkt,DP-C1p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__DP-C1p0__eps10p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.716688622490133,0.07237447195464988,0.7216341905932246,0.7087881167386467,0.012846073854577922,-0.012846073854577922,-0.012846073854577922,0.06727550165503474,0.08459138073333296,0.01731587907829822
D15_LIRE_EPS10,dkt,DP-C1p0,43,10.0,9.998421981693081,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D15_LIRE_EPS10__DP-C1p0__eps10p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.7142773786230263,0.07690200505965457,0.7248648446304309,0.7087881167386467,0.01607672789178416,-0.01607672789178416,-0.01607672789178416,0.06882153515729991,0.08459138073333296,0.015769845576033045
