stage,model_type,method,seed,target_epsilon,actual_epsilon,run_id,attribute,n_tokens,n_tokens_group0,n_tokens_group1,test_auc,test_brier,group0_auc,group1_auc,auc_gap,signed_disparity,group1_minus_group0_auc,group0_brier,group1_brier,brier_gap
D16_CONFIRMATORY,dkt,DP-C1p0,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__DP-C1p0__eps1p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6211880068800313,0.17082039731138823,0.6212655456925418,0.6228636417951212,0.0015980961025794382,0.0015980961025794382,0.0015980961025794382,0.1697866096693735,0.17329730707490978,0.0035106974055362783
D16_CONFIRMATORY,dkt,DP-C1p0,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__DP-C1p0__eps1p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6235575948593389,0.1723752776857661,0.6277572877509043,0.6228636417951212,0.004893645955783121,-0.004893645955783121,-0.004893645955783121,0.17140635237319932,0.17329730707490978,0.0018909547017104678
D16_CONFIRMATORY,dkt,DP-C1p0,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__DP-C1p0__eps1p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6463986135715738,0.18015990841533666,0.6510530345552481,0.6369394513579488,0.014113583197299273,-0.014113583197299273,-0.014113583197299273,0.178878245366917,0.1832307167604518,0.0043524713935348125
D16_CONFIRMATORY,dkt,DP-C1p0,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__DP-C1p0__eps1p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6434985218505327,0.1817181762898883,0.6523998943975537,0.6369394513579488,0.01546044303960492,-0.01546044303960492,-0.01546044303960492,0.18012870553606372,0.1832307167604518,0.0031020112243880793
D16_CONFIRMATORY,dkt,DP-C1p0,44,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__DP-C1p0__eps1p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.6586120978334085,0.17449338788487245,0.6654489977490743,0.6478437263504094,0.017605271398664857,-0.017605271398664857,-0.017605271398664857,0.17351828490228152,0.1768296917831388,0.003311406880857265
D16_CONFIRMATORY,dkt,DP-C1p0,44,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__DP-C1p0__eps1p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.654393889195443,0.17613702135730647,0.6663746837837199,0.6478437263504094,0.018530957433310458,-0.018530957433310458,-0.018530957433310458,0.17540912058021885,0.1768296917831388,0.0014205712029199402
D16_CONFIRMATORY,dkt,LIRE-DP_a0p5,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-DP_a0p5__eps1p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6206744812574418,0.16917657420549806,0.6241259134754892,0.6230315005434072,0.0010944129320820117,-0.0010944129320820117,-0.0010944129320820117,0.16945846027534314,0.16850118756880025,0.0009572727065428888
D16_CONFIRMATORY,dkt,LIRE-DP_a0p5,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-DP_a0p5__eps1p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6230671268315062,0.1697349396250971,0.6328602895398413,0.6230315005434072,0.009828788996434135,-0.009828788996434135,-0.009828788996434135,0.17103144232973153,0.16850118756880025,0.002530254760931272
D16_CONFIRMATORY,dkt,LIRE-DP_a0p5,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-DP_a0p5__eps1p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.644410513219984,0.17803131066202285,0.6467825610218827,0.6455456262838348,0.001236934738047868,-0.001236934738047868,-0.001236934738047868,0.17836326171908898,0.1772359705159016,0.001127291203187386
D16_CONFIRMATORY,dkt,LIRE-DP_a0p5,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-DP_a0p5__eps1p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6444702709417889,0.17833441692727947,0.6483998077089785,0.6455456262838348,0.002854181425143709,-0.002854181425143709,-0.002854181425143709,0.17948873212049754,0.1772359705159016,0.0022527616045959487
D16_CONFIRMATORY,dkt,LIRE-DP_a0p5,44,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-DP_a0p5__eps1p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.656043986670876,0.17324538120837474,0.6630511305847765,0.6475811269865657,0.015470003598210824,-0.015470003598210824,-0.015470003598210824,0.17332847811640867,0.1730462846681737,0.00028219344823496306
D16_CONFIRMATORY,dkt,LIRE-DP_a0p5,44,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-DP_a0p5__eps1p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.6530155134722695,0.17399472032225732,0.665119078579253,0.6475811269865657,0.01753795159268734,-0.01753795159268734,-0.01753795159268734,0.17499139496560676,0.1730462846681737,0.0019451102974330503
D16_CONFIRMATORY,dkt,LIRE-WGPR_a0p5_lam0p02_w3,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-WGPR_a0p5_lam0p02_w3__eps1p0__seed42,imd_low30_vs_rest,21330,15049,6281,0.6250466362417642,0.16984547781947837,0.6288845927635054,0.6268162885577234,0.002068304205781968,-0.002068304205781968,-0.002068304205781968,0.17010903900289928,0.1692139968054199,0.0008950421974793787
D16_CONFIRMATORY,dkt,LIRE-WGPR_a0p5_lam0p02_w3,42,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-WGPR_a0p5_lam0p02_w3__eps1p0__seed42,imd_low30_vs_high70,12258,5977,6281,0.6273204844393928,0.17040003044465196,0.6381711468898503,0.6268162885577234,0.011354858332126905,-0.011354858332126905,-0.011354858332126905,0.17164638769544946,0.1692139968054199,0.0024323908900295566
D16_CONFIRMATORY,dkt,LIRE-WGPR_a0p5_lam0p02_w3,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-WGPR_a0p5_lam0p02_w3__eps1p0__seed43,imd_low30_vs_rest,21330,15049,6281,0.6473971941669625,0.17848735949651715,0.6496980797496089,0.6482073254695777,0.0014907542800312035,-0.0014907542800312035,-0.0014907542800312035,0.17880443514040267,0.17772766018672034,0.0010767749536823301
D16_CONFIRMATORY,dkt,LIRE-WGPR_a0p5_lam0p02_w3,43,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-WGPR_a0p5_lam0p02_w3__eps1p0__seed43,imd_low30_vs_high70,12258,5977,6281,0.6475590773539921,0.17878158675370542,0.6514654309604306,0.6482073254695777,0.003258105490852925,-0.003258105490852925,-0.003258105490852925,0.17988911775039837,0.17772766018672034,0.0021614575636780264
D16_CONFIRMATORY,dkt,LIRE-WGPR_a0p5_lam0p02_w3,44,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-WGPR_a0p5_lam0p02_w3__eps1p0__seed44,imd_low30_vs_rest,21330,15049,6281,0.6581953285065066,0.1738876117793883,0.6649029234668581,0.6501813728000546,0.014721550666803473,-0.014721550666803473,-0.014721550666803473,0.17397064150114064,0.17368867621456568,0.00028196528657495334
D16_CONFIRMATORY,dkt,LIRE-WGPR_a0p5_lam0p02_w3,44,1.0,0.991565145701238,dkt_bs1024_len100_d64_ep8_lr0p001_C1p0_split2026__D16_CONFIRMATORY__LIRE-WGPR_a0p5_lam0p02_w3__eps1p0__seed44,imd_low30_vs_high70,12258,5977,6281,0.6554405823972631,0.1746112120945589,0.6673215594486607,0.6501813728000546,0.01714018664860606,-0.01714018664860606,-0.01714018664860606,0.17558066965892852,0.17368867621456568,0.0018919934443628328
